,TEAM,Team_id,year,month,FGA,FG_P,3PA,3P_P,OFFRTG,DEFRTG,REB_P,AST/TO,PACE
0,Atlanta Hawks,Atlanta Hawks_10_2010,2010,10,77.0,48.5,17.3,36.5,112.2,104.5,53.5,1.21,95.67
1,Los Angeles Lakers,Los Angeles Lakers_10_2010,2010,10,93.0,44.8,22.3,40.3,112.1,101.0,51.6,1.56,98.83
2,New Orleans Hornets,New Orleans Hornets_10_2010,2010,10,78.0,47.4,15.0,37.8,104.2,97.5,48.9,1.65,94.33
3,Portland Trail Blazers,Portland Trail Blazers_10_2010,2010,10,85.7,45.1,17.7,45.3,110.1,99.3,53.2,1.59,92.17
4,Miami Heat,Miami Heat_10_2010,2010,10,72.8,44.3,17.5,42.9,103.6,90.0,49.1,1.43,90.0
5,Boston Celtics,Boston Celtics_10_2010,2010,10,77.3,47.4,14.7,36.4,98.6,97.9,54.3,1.44,94.33
6,Dallas Mavericks,Dallas Mavericks_10_2010,2010,10,74.7,49.6,16.3,34.7,102.5,91.2,48.9,1.49,94.67
7,Denver Nuggets,Denver Nuggets_10_2010,2010,10,80.7,43.0,20.7,35.5,106.1,96.3,51.4,1.21,98.0
8,Golden State Warriors,Golden State Warriors_10_2010,2010,10,87.3,49.6,21.3,42.2,109.1,110.5,48.2,1.75,98.67
9,Indiana Pacers,Indiana Pacers_10_2010,2010,10,82.0,46.3,24.7,36.5,107.6,106.2,50.5,1.21,96.83
10,Memphis Grizzlies,Memphis Grizzlies_10_2010,2010,10,86.3,44.0,14.7,36.4,99.7,98.7,47.8,1.27,101.17
11,New Jersey Nets,New Jersey Nets_10_2010,2010,10,75.3,44.7,13.0,38.5,104.0,107.6,54.4,0.94,92.0
12,Oklahoma City Thunder,Oklahoma City Thunder_10_2010,2010,10,81.0,39.9,17.7,20.8,104.7,107.4,48.3,1.13,98.83
13,Sacramento Kings,Sacramento Kings_10_2010,2010,10,85.0,46.3,15.3,39.1,110.2,110.9,48.1,1.75,98.0
14,Chicago Bulls,Chicago Bulls_10_2010,2010,10,89.5,43.0,16.0,21.9,97.5,99.5,53.5,1.23,99.75
15,Orlando Magic,Orlando Magic_10_2010,2010,10,73.0,43.8,24.0,25.0,97.8,97.3,54.9,0.68,92.5
16,San Antonio Spurs,San Antonio Spurs_10_2010,2010,10,84.0,44.6,23.0,32.6,107.6,105.6,47.7,1.89,98.5
17,Toronto Raptors,Toronto Raptors_10_2010,2010,10,88.0,42.6,15.0,30.0,100.5,93.2,55.3,1.42,96.25
18,Cleveland Cavaliers,Cleveland Cavaliers_10_2010,2010,10,81.7,43.7,19.3,36.2,100.7,106.1,47.1,1.3,92.67
19,Milwaukee Bucks,Milwaukee Bucks_10_2010,2010,10,78.3,40.9,21.7,33.8,97.2,98.6,49.0,1.16,94.17
20,Minnesota Timberwolves,Minnesota Timberwolves_10_2010,2010,10,88.3,40.0,20.0,33.3,96.2,99.7,56.0,0.82,104.17
21,New York Knicks,New York Knicks_10_2010,2010,10,87.0,42.9,26.3,29.1,100.0,101.0,47.0,1.21,98.17
22,Phoenix Suns,Phoenix Suns_10_2010,2010,10,82.3,47.4,23.0,40.6,110.0,111.7,46.4,1.27,93.5
23,Utah Jazz,Utah Jazz_10_2010,2010,10,79.0,45.1,12.3,35.1,101.0,107.0,50.5,1.33,99.5
24,Charlotte Bobcats,Charlotte Bobcats_10_2010,2010,10,69.0,43.5,14.7,40.9,100.7,111.0,49.4,0.93,91.0
25,Detroit Pistons,Detroit Pistons_10_2010,2010,10,83.3,43.2,16.3,42.9,103.2,108.1,47.6,1.21,94.67
26,Houston Rockets,Houston Rockets_10_2010,2010,10,86.3,44.8,18.3,27.3,109.2,114.3,50.6,1.39,101.83
27,Los Angeles Clippers,Los Angeles Clippers_10_2010,2010,10,81.3,37.7,19.0,24.6,93.6,109.3,49.4,1.08,93.33
28,Philadelphia 76ers,Philadelphia 76ers_10_2010,2010,10,83.3,42.8,13.3,45.0,96.8,105.3,47.5,1.3,94.67
29,Washington Wizards,Washington Wizards_10_2010,2010,10,77.0,43.5,15.5,25.8,93.7,110.5,38.9,1.06,95.25
30,San Antonio Spurs,San Antonio Spurs_11_2010,2010,11,83.1,47.0,20.8,42.9,111.9,101.4,51.5,1.62,95.31
31,Utah Jazz,Utah Jazz_11_2010,2010,11,80.8,47.4,15.4,35.0,110.0,103.3,48.2,1.89,90.79
32,Orlando Magic,Orlando Magic_11_2010,2010,11,76.1,47.3,24.7,38.9,109.2,101.2,51.7,1.41,91.13
33,Boston Celtics,Boston Celtics_11_2010,2010,11,78.4,51.0,12.4,41.6,110.1,100.2,49.1,1.96,90.97
34,Dallas Mavericks,Dallas Mavericks_11_2010,2010,11,77.4,47.0,19.0,35.3,107.9,103.2,50.6,1.73,90.93
35,Los Angeles Lakers,Los Angeles Lakers_11_2010,2010,11,84.7,46.6,20.9,41.2,114.1,106.3,51.4,1.72,94.6
