,Game_Result,Team1_FGA,Team1_FG_P,Team1_3PA,Team1_3P_P,Team1_OFFRTG,Team1_DEFRTG,Team1_REB_P,Team1_AST/TO,Team1_PACE,Team2_FGA,Team2_FG_P,Team2_3PA,Team2_3P_P,Team2_OFFRTG,Team2_DEFRTG,Team2_REB_P,Team2_AST/TO,Team2_PACE
6,1,95.3,41.5,32.0,28.1,95.7,108.1,48.4,1.32,108.91,85.6,47.0,33.2,39.2,106.6,99.3,52.5,1.19,106.09
51,1,85.0,45.6,32.2,29.2,102.0,103.4,49.6,1.36,101.2,85.6,47.0,33.2,39.2,106.6,99.3,52.5,1.19,106.09
85,1,89.0,45.2,45.2,34.8,112.7,106.1,50.1,1.32,104.77,80.5,48.8,31.6,39.4,110.7,105.0,53.2,1.42,99.23
147,1,83.9,46.1,32.9,38.0,109.3,110.8,49.9,1.58,97.5,80.5,48.8,31.6,39.4,110.7,105.0,53.2,1.42,99.23
177,1,91.4,45.0,37.8,38.0,108.1,113.2,50.0,1.42,104.25,80.5,48.8,31.6,39.4,110.7,105.0,53.2,1.42,99.23
206,1,87.3,43.1,32.0,34.8,104.8,113.9,48.6,1.37,99.4,80.5,48.8,31.6,39.4,110.7,105.0,53.2,1.42,99.23
244,1,87.0,44.1,35.3,34.6,106.1,114.5,47.7,1.62,98.02,80.5,48.8,31.6,39.4,110.7,105.0,53.2,1.42,99.23
273,1,88.0,43.7,28.3,33.6,104.5,113.4,48.2,1.75,100.1,80.5,48.8,31.6,39.4,110.7,105.0,53.2,1.42,99.23
324,1,91.0,44.4,33.5,36.3,111.5,117.3,46.7,1.93,102.22,86.8,45.5,33.5,37.5,112.1,111.1,52.6,1.8,97.58
336,1,87.2,44.1,35.5,37.4,104.8,101.3,48.3,1.45,99.41,86.8,45.5,33.5,37.5,112.1,111.1,52.6,1.8,97.58
352,1,91.1,43.5,37.7,31.8,101.6,110.5,46.6,1.4,103.69,86.8,45.5,33.5,37.5,112.1,111.1,52.6,1.8,97.58
370,0,86.9,48.1,31.5,34.0,112.1,107.5,51.4,1.64,99.96,86.8,45.5,33.5,37.5,112.1,111.1,52.6,1.8,97.58
423,1,90.9,43.3,31.9,31.3,104.8,113.2,49.8,1.65,100.25,86.8,45.5,33.5,37.5,112.1,111.1,52.6,1.8,97.58
448,1,83.8,48.1,32.4,40.2,110.6,108.4,51.5,1.38,99.71,86.8,45.5,33.5,37.5,112.1,111.1,52.6,1.8,97.58
