,Game_Result,Team1_FGA,Team1_FG_P,Team1_3PA,Team1_3P_P,Team1_OFFRTG,Team1_DEFRTG,Team1_REB_P,Team1_AST/TO,Team1_PACE,Team2_FGA,Team2_FG_P,Team2_3PA,Team2_3P_P,Team2_OFFRTG,Team2_DEFRTG,Team2_REB_P,Team2_AST/TO,Team2_PACE
9,1,86.0,42.3,28.4,35.2,99.8,107.9,51.6,1.02,100.8,89.0,47.5,23.0,33.7,108.6,106.2,52.8,1.36,104.75
32,1,94.0,47.9,38.0,38.2,113.6,113.6,49.3,1.69,104.88,89.0,47.5,23.0,33.7,108.6,106.2,52.8,1.36,104.75
47,1,89.0,44.9,29.6,36.5,104.7,103.8,49.8,1.07,106.1,89.0,47.5,23.0,33.7,108.6,106.2,52.8,1.36,104.75
87,0,88.9,49.0,30.5,36.9,112.5,104.6,50.7,1.82,100.17,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
112,1,84.2,47.0,30.7,36.6,108.9,110.6,45.9,1.77,99.82,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
126,0,89.3,45.0,33.8,34.0,110.1,104.0,49.8,1.75,100.04,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
141,0,90.3,46.9,30.1,37.5,107.3,113.8,49.8,1.7,102.32,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
180,0,93.3,45.2,35.1,36.8,111.7,113.0,48.5,1.59,101.93,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
248,0,88.9,49.0,30.5,36.9,112.5,104.6,50.7,1.82,100.17,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
261,0,92.7,44.3,39.4,33.2,107.3,108.1,50.3,1.58,104.62,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
275,1,92.5,44.0,34.0,34.2,108.5,102.1,53.3,1.46,103.69,90.3,46.7,26.3,35.6,110.5,114.1,50.2,1.93,100.59
302,1,92.4,46.0,43.2,36.4,114.4,110.0,49.9,1.48,101.88,92.7,48.1,28.9,38.6,109.0,108.6,48.8,1.92,101.54
327,1,88.3,45.5,33.8,33.8,107.6,110.7,49.8,1.53,96.58,92.7,48.1,28.9,38.6,109.0,108.6,48.8,1.92,101.54
367,0,88.3,45.6,31.9,32.9,104.8,115.4,52.9,1.23,98.69,92.7,48.1,28.9,38.6,109.0,108.6,48.8,1.92,101.54
417,1,92.2,42.7,37.1,30.9,104.1,104.2,52.1,1.53,101.83,92.7,48.1,28.9,38.6,109.0,108.6,48.8,1.92,101.54
