,Game_Result,Team1_OFFRTG,Team1_DEFRTG,Team1_AST/TO,Team1_REB_P,Team1_FG_P,Team1_FGA,Team1_PACE,Team1_3PA,Team1_3P_P,Team2_OFFRTG,Team2_DEFRTG,Team2_AST/TO,Team2_REB_P,Team2_FG_P,Team2_FGA,Team2_PACE,Team2_3PA,Team2_3P_P
30,0,114.9,109.1,2.09,49.2,46.3,91.0,100.44,34.5,37.7,108.9,107.6,1.37,53.6,43.6,91.4,102.71,33.9,35.4
53,1,105.2,109.8,1.39,51.0,43.1,91.8,100.56,30.8,36.2,108.9,107.6,1.37,53.6,43.6,91.4,102.71,33.9,35.4
79,1,113.9,106.4,1.32,53.2,46.9,89.3,101.14,30.6,37.4,108.9,107.6,1.37,53.6,43.6,91.4,102.71,33.9,35.4
88,0,109.1,108.7,1.56,47.9,49.8,90.9,107.06,25.0,40.0,108.9,107.6,1.37,53.6,43.6,91.4,102.71,33.9,35.4
155,1,107.1,112.9,1.85,49.5,44.3,88.9,98.73,26.0,37.4,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
169,0,105.6,103.1,1.67,51.7,45.9,85.8,98.93,26.6,36.0,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
178,0,108.4,112.5,1.77,47.1,46.6,88.9,102.95,31.5,31.9,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
190,0,110.8,107.4,1.6,51.3,47.5,85.1,102.34,29.7,36.0,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
234,0,105.0,103.5,1.34,50.7,46.3,87.6,102.61,29.1,33.9,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
249,0,109.6,110.3,1.58,49.4,44.2,90.4,99.88,34.1,33.9,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
301,0,101.1,111.7,1.33,47.2,44.1,89.5,106.0,34.9,29.6,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
323,1,111.5,110.6,1.65,53.2,46.9,91.2,103.75,28.7,33.1,103.9,106.6,1.38,49.4,43.3,89.1,102.13,33.1,36.2
338,1,109.3,100.6,1.67,53.1,47.2,86.5,100.71,32.8,37.5,107.9,104.1,1.8,52.0,43.9,88.2,96.29,33.5,35.4
350,0,101.7,109.0,1.44,50.3,42.3,86.5,95.92,31.4,34.8,107.9,104.1,1.8,52.0,43.9,88.2,96.29,33.5,35.4
466,1,113.4,109.1,1.46,49.7,44.7,83.8,97.23,42.6,35.7,107.9,104.1,1.8,52.0,43.9,88.2,96.29,33.5,35.4
482,1,108.4,102.1,1.71,50.9,45.1,89.4,101.71,38.4,33.0,107.9,104.1,1.8,52.0,43.9,88.2,96.29,33.5,35.4
505,0,106.7,106.0,1.73,49.4,43.8,89.9,98.12,33.1,32.3,107.9,104.1,1.8,52.0,43.9,88.2,96.29,33.5,35.4
520,1,105.3,116.9,1.66,49.2,44.1,87.4,95.66,27.9,33.4,107.9,104.1,1.8,52.0,43.9,88.2,96.29,33.5,35.4
536,0,111.6,111.7,2.12,49.7,46.1,90.6,100.47,26.4,35.4,107.9,104.1,1.8,52.0,43.9,88.2,96.29,33.5,35.4
569,1,110.6,107.2,2.08,47.7,46.8,90.1,100.75,33.4,39.0,106.0,108.3,1.73,51.0,46.2,84.7,96.14,32.2,34.1
600,0,117.8,111.1,2.32,54.1,48.2,91.3,97.34,32.1,35.7,106.0,108.3,1.73,51.0,46.2,84.7,96.14,32.2,34.1
616,1,114.5,104.8,1.96,50.3,48.0,90.1,99.9,33.7,39.0,106.0,108.3,1.73,51.0,46.2,84.7,96.14,32.2,34.1
