,Game_Result,Team1_OFFRTG,Team1_DEFRTG,Team1_AST/TO,Team1_REB_P,Team1_FG_P,Team1_FGA,Team1_PACE,Team1_3PA,Team1_3P_P,Team2_OFFRTG,Team2_DEFRTG,Team2_AST/TO,Team2_REB_P,Team2_FG_P,Team2_FGA,Team2_PACE,Team2_3PA,Team2_3P_P
9,1,111.4,114.2,1.64,48.7,44.8,92.4,103.94,28.9,38.1,111.9,110.6,2.02,50.8,46.6,91.7,99.33,22.3,39.1
57,0,112.1,105.5,1.67,49.2,50.6,86.0,97.13,22.3,41.6,111.9,110.6,2.02,50.8,46.6,91.7,99.33,22.3,39.1
81,1,112.4,112.5,1.79,48.9,49.5,95.8,106.24,30.1,34.9,111.9,110.6,2.02,50.8,46.6,91.7,99.33,22.3,39.1
93,1,106.6,111.6,1.45,51.3,44.8,91.3,103.16,36.4,33.7,111.9,110.6,2.02,50.8,46.6,91.7,99.33,22.3,39.1
129,1,111.5,110.6,1.65,53.2,46.9,91.2,103.75,28.7,33.1,107.1,112.9,1.85,49.5,44.3,88.9,98.73,26.0,37.4
135,0,109.4,108.1,1.97,47.9,47.6,87.1,98.91,30.3,37.1,107.1,112.9,1.85,49.5,44.3,88.9,98.73,26.0,37.4
180,1,115.5,111.9,1.45,49.2,46.3,83.5,94.72,42.9,34.6,107.1,112.9,1.85,49.5,44.3,88.9,98.73,26.0,37.4
237,1,110.7,111.1,1.78,51.3,47.4,87.4,98.74,28.4,36.0,107.1,112.9,1.85,49.5,44.3,88.9,98.73,26.0,37.4
261,0,107.7,106.3,1.78,47.2,46.7,84.0,95.32,27.4,36.7,107.1,112.9,1.85,49.5,44.3,88.9,98.73,26.0,37.4
325,0,115.5,111.9,1.45,49.2,46.3,83.5,94.72,42.9,34.6,107.1,112.9,1.85,49.5,44.3,88.9,98.73,26.0,37.4
341,1,108.1,109.3,1.46,52.1,45.9,88.4,99.45,27.9,36.3,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
374,1,110.0,106.7,1.71,51.1,48.4,89.7,104.17,34.0,35.5,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
388,1,109.3,100.6,1.67,53.1,47.2,86.5,100.71,32.8,37.5,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
402,1,104.9,112.4,1.58,48.3,45.4,91.3,99.93,28.7,34.0,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
432,0,98.7,107.1,1.26,47.3,44.6,82.9,96.93,23.7,33.7,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
447,1,110.6,108.4,1.85,50.2,47.1,88.8,101.49,32.8,34.0,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
474,1,111.6,111.7,2.12,49.7,46.1,90.6,100.47,26.4,35.4,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
509,1,110.5,109.3,1.89,51.5,46.0,87.7,98.07,31.2,36.4,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
544,1,115.5,107.7,2.08,49.8,46.9,90.9,99.98,37.7,36.7,116.7,106.4,2.19,49.9,51.2,86.5,99.0,23.8,42.4
562,1,113.2,110.1,1.82,49.1,46.8,89.5,100.7,32.4,36.0,114.5,111.7,1.91,51.1,49.4,87.0,99.39,26.1,43.5
580,1,100.7,109.8,1.55,48.7,43.7,83.4,96.68,28.0,31.5,114.5,111.7,1.91,51.1,49.4,87.0,99.39,26.1,43.5
618,1,113.4,112.2,2.06,49.0,46.7,94.6,104.14,30.2,40.4,114.5,111.7,1.91,51.1,49.4,87.0,99.39,26.1,43.5
646,0,106.7,114.0,1.62,50.5,44.0,87.9,98.79,33.6,33.8,114.5,111.7,1.91,51.1,49.4,87.0,99.39,26.1,43.5
740,1,110.6,107.2,2.08,47.7,46.8,90.1,100.75,33.4,39.0,114.5,111.7,1.91,51.1,49.4,87.0,99.39,26.1,43.5
753,1,105.4,116.1,1.51,45.0,45.7,85.8,102.3,29.3,32.3,114.5,111.7,1.91,51.1,49.4,87.0,99.39,26.1,43.5
766,1,110.7,106.9,1.48,51.8,45.6,90.5,103.18,35.7,35.6,114.5,111.7,1.91,51.1,49.4,87.0,99.39,26.1,43.5
781,1,107.7,111.4,1.95,51.0,46.0,93.5,104.32,32.4,29.8,108.7,118.1,1.88,48.4,45.4,89.7,99.7,25.3,36.8
917,1,116.0,109.4,1.85,51.0,46.7,86.8,97.9,37.1,39.9,108.7,118.1,1.88,48.4,45.4,89.7,99.7,25.3,36.8
939,1,105.1,108.1,1.53,49.9,42.3,93.5,100.75,35.1,32.9,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
953,1,108.7,108.9,2.0,51.7,45.0,89.3,97.0,33.3,34.0,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
998,1,114.2,106.1,1.93,52.1,46.4,92.2,103.7,39.7,36.4,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
1031,1,100.0,114.5,1.21,50.0,42.8,84.4,100.11,28.7,33.8,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
1038,1,115.4,110.1,1.78,53.6,46.5,92.3,99.95,31.6,34.4,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
1054,1,112.9,107.3,1.95,49.7,49.2,86.8,100.57,34.9,39.5,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
1070,0,108.1,104.1,1.94,50.3,45.7,87.6,97.17,30.2,34.9,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
1128,1,110.1,117.4,1.56,48.8,44.7,87.9,98.2,34.6,35.5,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
1147,0,111.8,110.8,2.13,50.3,46.4,91.8,102.13,28.6,38.9,112.2,107.3,2.42,50.4,48.1,90.4,98.16,26.6,36.2
1161,1,111.8,119.7,2.03,47.6,44.5,96.6,106.5,39.0,34.9,112.8,106.8,1.83,51.8,49.3,84.4,97.3,25.6,35.9
1226,1,110.7,109.2,2.52,51.4,44.6,94.5,101.32,39.3,31.8,112.8,106.8,1.83,51.8,49.3,84.4,97.3,25.6,35.9
1247,1,110.0,108.1,2.25,48.2,46.2,89.5,98.42,30.2,33.7,112.8,106.8,1.83,51.8,49.3,84.4,97.3,25.6,35.9
1253,0,110.0,108.1,2.25,48.2,46.2,89.5,98.42,30.2,33.7,112.8,106.8,1.83,51.8,49.3,84.4,97.3,25.6,35.9
1268,1,110.0,108.1,2.25,48.2,46.2,89.5,98.42,30.2,33.7,112.8,106.8,1.83,51.8,49.3,84.4,97.3,25.6,35.9
